Meet|Level|Date|Results|Meet Url
Semper Fortis Semper Fidelis|Local|2020-11-07|8|4581
Pittsburgh Barbell Invitational - November 2020|Local|2020-11-07|21|4615
Club Showdown/November online qualifier|Local|2020-11-01|129|4679
NMU Last Chance Qualifier|Local|2020-11-01|9|4653
Heroic Barbell Countdown to Armageddon|Local|2020-11-01|18|4612
Sasquatch Monster Mash|Local|2020-10-31|30|4464
Kilodelphia Lift-Off|Local|2020-10-31|51|4588
I Can See For Miles Invite|Local|2020-10-31|12|4643
Lenoir-Rhyne Invitational|Local|2020-10-31|12|4670
No Matter What Open 2020|Local|2020-10-31|47|4521
Texas Barbell Fall Showdown|Local|2020-10-31|57|4622
A Nightmare on Windmill Way|Local|2020-10-31|26|4660
PXM Weightlifting Lift Off|Local|2020-10-31|6|4636
Kilo Classic|Local|2020-10-31|35|4593
Halloween Kilo Smash|Local|2020-10-31|8|4626
South County Open|Local|2020-10-31|87|4540
Thors Stone Fall 2020 Meet|Local|2020-10-31|6|4650
DoD Halloween In-House Meet|Local|2020-10-31|19|4640
Dallas Weightlifting Championships|Local|2020-10-31|77|4598
2020 Ohio State Championship|Local|2020-10-30|144|4578
Spooktacular|Local|2020-10-30|8|4671
AO Finals/Nationals|Local|2020-10-30|9|4646
Coffee Qualifier|Local|2020-10-30|13|4664
Team Flaig Last Chance Qualifier ATL|Local|2020-10-29|6|4669
AT Meet|Local|2020-10-27|1|4639
2020 OSS Fall Novice/Youth Invitational|Local|2020-10-25|8|4618
Three Kings In-House Meet|Local|2020-10-25|18|4613
Larry Hannenman Memorial|Local|2020-10-24|49|4617
The Drunky Memorial Meet|Local|2020-10-24|16|4520
Barbell Collective Open Series- FINAL|Local|2020-10-24|55|4235
Prairie State In-House Fall Showdown|Local|2020-10-24|15|4630
2020 Gough-Karchut Classic and MT State Weightlifting Championships|Local|2020-10-24|21|4641
CE Barbell In House Meet|Local|2020-10-24|19|4619
Rockford Barbell Fall Open|Local|2020-10-24|6|4631
LBC Fall In-House Meet|Local|2020-10-24|29|4566
Oregon State Championships|Local|2020-10-24|27|4546
Titan Championships|Local|2020-10-24|29|4676
Bexar Barbell Brawl|Local|2020-10-24|165|4590
2020 Virginia LWC Championship & Old Dominion Classic|Local|2020-10-24|89|4482
2020 Oklahoma State Championships|Local|2020-10-24|46|4493
Boo Bash|Local|2020-10-24|39|4604
2020 Wiregrass Weightlifting Open|Local|2020-10-24|13|4551
Kentucky State Open|Local|2020-10-24|41|4584
Palmetto Fall Open|Local|2020-10-24|16|4595
Fall Record Breaker|Local|2020-10-24|126|4453
Florida State Championships|Local|2020-10-23|364|4609
Colorado State Championships|Local|2020-10-18|169|4570
Closed Meet - Last Chance Qualifier|Local|2020-10-18|12|4605
2020 Copperhead|Local|2020-10-17|75|4564
39th Annual Spartan Open Weightlifting Championships|Local|2020-10-17|25|4400
Halloween Frights|Local|2020-10-17|16|4599
Team Flaig In-House Qualifier|Local|2020-10-17|22|4644
Philly Barbell October Max Out|Local|2020-10-17|9|4635
BARBARIAN BARBELL presents The 6th Annual OctoBar Fest!|Local|2020-10-17|6|4647
Tough Temple Invitational 2020|Local|2020-10-17|42|4530
2020 Division Avenue open 3|Local|2020-10-10|9|4629
Nebraska State Championships and Open|Local|2020-10-10|111|4582
Forza House 2020|Local|2020-10-10|15|4614
Strong Barbell Club Weightlifting Open|Local|2020-10-03|50|4522
The Six Dollar Dare Contest|Local|2020-10-03|16|4600
DIESEL Weightlifting Meet|Local|2020-10-03|11|4603
Gulf Coast Barbell Open|Local|2020-10-03|25|4606
2020 Pan American Masters|International|2020-10-02|409|4708
October online qualifier|Local|2020-10-01|260|4634
Team Florida Northern Alliance Last State Qualifier Invitational|Local|2020-09-27|18|4611
Last Chance States Qualifier 2020|Local|2020-09-27|7|4623
2020 TN State Championship|Local|2020-09-26|63|4553
Tampa Bay Area Classic 7|Local|2020-09-26|77|4576
KC Weightlifting’s Fall Open|Local|2020-09-26|28|4608
STRENGTH WORKS OPEN|Local|2020-09-26|22|4565
Power And Grace Fall Classic|Local|2020-09-26|56|4559
VBW Friday Qualifier|Local|2020-09-26|12|4628
2020 Open|Local|2020-09-25|33|4585
Amp Training Summer Showdown|Local|2020-09-19|45|4583
Heartland Strength x CB Invitational|Local|2020-09-19|21|4616
2020 Division Avenue open 2|Local|2020-09-19|11|4596
The Jacked Classic 2020|Local|2020-09-19|37|4466
Nike 2020 Online American Open Series 3 powered by Rogue|North American Open Series|2020-09-17|434|4575
Solcana Beginner Oly Meet|Local|2020-09-12|15|4415
Legion Weightlifting I|Local|2020-09-12|22|4269
Stoneage Gym Meet|Local|2020-09-12|8|4597
PL in house August Comp|Local|2020-09-12|9|4587
Lehigh Valley Open|Local|2020-09-12|12|4343
Yank & Yeet|Local|2020-09-12|15|4412
Just Strong Open|Local|2020-09-12|6|4468
Eastside Masters' Invitational|Local|2020-09-05|10|4580
95East Barbell Summer Classic|Local|2020-09-05|15|4591
Masters Nationals Online Submission Event|Local|2020-09-05|8|4586
The Miller Gym In-House Invite|Local|2020-09-05|11|4510
2020 Masters National Championships|National|2020-09-03|644|4130
September online qualifier|Local|2020-09-01|133|4602
issa meet|Local|2020-08-30|10|4589
Pittsburgh Barbell Invitational|Local|2020-08-29|18|4537
Allsouth Open and one year celebration|Local|2020-08-29|57|4560
2nd Annual Brigade Barbell Club Open|Local|2020-08-29|26|4557
Michigan Weightlifting State Meet|Local|2020-08-22|64|4548
Michigan Weightlifting State Championship|Local|2020-08-22|109|4592
2020 Summer Slam|Local|2020-08-22|11|4528
Essex Middle School Early Spring Meet|Local|2020-08-22|8|4490
Freedom’s Last Chance AO3 Qualifier|Local|2020-08-16|11|4561
Battle of Iwo Jima WLM 2020|Local|2020-08-15|5|4568
2020 Middle GA Open|Local|2020-08-15|43|4538
Pure Health Last Chance Qualifier|Local|2020-08-15|15|4571
2020 Kansas State and Open Championship|Local|2020-08-15|62|4498
Left Coast in House Meet|Local|2020-08-15|7|4577
2020 Indiana State Meet|Local|2020-08-15|66|4555
Summertime in the LBwC & AO3 LCQ|Local|2020-08-15|27|4511
The Praelium|Local|2020-08-15|174|4535
Rocky Mountain State Games|Local|2020-08-14|65|4514
2020 New Haven Open|Local|2020-08-09|43|4390
Matt Davis Memorial|Local|2020-08-08|40|4517
HI Performance youth meet|Local|2020-08-08|12|4573
South Texas Invitational|Local|2020-08-08|44|4543
PA Powerfest 2020|Local|2020-08-07|29|4518
Sunday Series: Summer Daze|Local|2020-08-02|8|4483
East Coast Gold - August Spring Fling|Local|2020-08-01|27|4549
4th Capitol City Open WLC|Local|2020-08-01|12|4401
August online qualifier|Local|2020-08-01|692|4579
Summer Singlets|Local|2020-07-26|27|4550
Summer Open|Local|2020-07-25|11|4569
2020 Kentucky LWC State and Open Championships|Local|2020-07-25|23|4449
Eastside Summer Invitational|Local|2020-07-25|37|4541
2020 Stars, Stripes and White Lights|Local|2020-07-25|46|4533
Team Florida Northeast Crossfit 904 Meet in the Heat|Local|2020-07-18|6|4552
2020 Division Avenue Invitational|Local|2020-07-18|11|4554
CWL club sandwich meet|Local|2020-07-18|35|4547
Wisconsin State Championships 2020|Local|2020-07-18|47|4492
Handle Barbell|Local|2020-07-11|6|4506
BlueWave In-House Meet|Local|2020-07-11|7|4398
Freehold Spring Lift Off 2020|Local|2020-07-11|29|4336
Barbell Collective Open Series TWO|Local|2020-07-11|52|4382
Commonwealth Series 2|Local|2020-07-11|24|4370
Tampa Bay Postponed Classic 3|Local|2020-07-11|24|4539
2020 Virginia LWC Championship & Old Dominion Classic (To be Deleted)|Local|2020-07-11|89|4471
Honky Tonk Heartland Lift Off Yee Haw|Local|2020-07-11|18|4562
Stars and Stripes Lift Off|Local|2020-07-04|341|4558
Freedom Summer 2020|Local|2020-06-28|18|4536
PBC in house max out|Local|2020-06-20|33|4542
Scottsdale Barbell Spring Meet|Local|2020-06-20|78|4499
Nashville Weightlifting Open|Local|2020-06-20|37|4489
Paradise Classic|Local|2020-06-20|22|4279
Allsouth June Jump Off|Local|2020-06-13|17|4544
6TH ANNUAL ATHLEO OPEN|Local|2020-06-13|25|4491
Lift Proud Virtual Cup|Local|2020-06-01|251|4534
Barbell MAYnia 2020|Local|2020-05-30|16|4480
National Police Week Open|Local|2020-05-16|9|4486
Virtual Super Championship|National|2020-05-14|15|4529
Testify Barbell MAYhem|Local|2020-05-09|57|4454
AO Series Online Qualifier - May|Local|2020-05-01|437|4532
AO Series Online Qualifier - April|Local|2020-04-30|146|4524
AO Series Online Qualifier - April|Local|2020-04-30|407|4525
7th Annual Mississippi State Weightlifing Championship|Local|2020-04-11|70|4456
Larry Mintz Memorial|Local|2020-04-05|40|4478
2020 MN LWC State Championships|Local|2020-03-28|13|4465
East Coast Gold - Spring Fling|Local|2020-03-21|10|4488
COVID-'20 Classic|Local|2020-03-21|18|4527
AO Series Online Qualifier - March|Local|2020-03-17|384|4523
Testify Leprechaun Lift-off|Local|2020-03-14|92|4452
Rep Max Spring Lift Off|Local|2020-03-14|96|4386
HBC Closed|Local|2020-03-14|9|4515
Coffee Winter 2|Local|2020-03-13|14|4519
Minnesota High School State Championship|Local|2020-03-07|104|4507
RowanStrong Weightlifting Open|Local|2020-03-07|8|4455
Big Bend Spring Classic|Local|2020-03-07|22|4457
Las Vegas Barbell Open|Local|2020-03-07|20|4460
Weightlifting and Hot Dogs|Local|2020-03-07|8|4503
ROGUE Weightlifting Challenge at the Arnold Sports Festival (USA Athletes)|International|2020-03-06|15|4436
2020 Nike American Open Series 1|National|2020-03-05|908|4312
Tradition Barbell Open|Local|2020-03-01|5|4501
The Palm Beach Open 2020|Local|2020-02-29|84|4320
February Fun|Local|2020-02-29|13|4509
Brooklyn Barbell Winter Qualifier|Local|2020-02-29|27|4411
The Justin Thacker Memorial Weightlifting Meet|Local|2020-02-29|68|4448
The Justin Thacker Memorial Weightlifting Meet|Local|2020-02-29|68|4448
Malta International Open|International|2020-02-28|5|4516
2020 OSS National Masters LCQ|Local|2020-02-23|8|4484
Grand Junction WL Club Invitational|Local|2020-02-23|15|4475
15th HoundWood Gym Pocket-Size Open & Qualifier|Local|2020-02-23|10|4445
HBC Nanny McCarthy Closed|Local|2020-02-22|10|4504
2020 Illumine Winter Open|Local|2020-02-22|61|4340
Hearts of Champions|Local|2020-02-22|12|4463
Last Chance Meet|Local|2020-02-22|28|4442
Team Florida Gainesville In-house qualifier|Local|2020-02-22|5|4467
2020 Oklahoma Open|Local|2020-02-22|66|4479
NorCal Weightlifting Meet|Local|2020-02-22|89|4414
Irish Intervarsities|Local|2020-02-22|1|4513
Heavy Metal HQ 3|Local|2020-02-22|19|4427
2020 Iron Born Open|Local|2020-02-22|63|4211
Coffee Winter 1|Local|2020-02-17|10|4502
All City Weightlifting Championships|Local|2020-02-16|20|4485
Charles Darwin Birthday Weightlifting Championships|Local|2020-02-16|22|4432
Double Barrel Classic|Local|2020-02-15|5|4135
Lord of the Lifts, Vol IV|Local|2020-02-15|43|4353
2020 Will You Be My Valentine Weightlifting Meet|Local|2020-02-15|78|4380
The New England Open|Local|2020-02-15|80|4028
St. Valentine's Day Snatchacre|Local|2020-02-15|21|4392
2020 La Coupe du Voyageur Championships|Local|2020-02-09|3|4505
Lift-O-Mania|Local|2020-02-08|62|4362
2020 Composure Open|Local|2020-02-08|24|4430
BlueWave Championship 2020|Local|2020-02-08|56|4172
95East Winter Classic Feb 8th, 2020|Local|2020-02-08|27|4413
Warrior Winter Classic|Local|2020-02-08|25|4450
Nike 2020 National Under 25 Championships|National|2020-02-06|161|4315
2020 National Junior Championships, powered by Rogue Fitness|National|2020-02-06|218|4313
Nike 2020 National University Championships|National|2020-02-06|542|4314
Dynamis Weightlifting Invitational|Local|2020-02-02|7|4439
Freedom Invitational|Local|2020-02-02|6|4461
Last Chance AO Series I|Local|2020-02-01|20|4462
AO 1 Last Chance Qualifier|Local|2020-02-01|17|4441
Elevate Open 2|Local|2020-02-01|51|4317
Phoenix Weightlifting Open|Local|2020-02-01|43|4397
Folsom Open 1|Local|2020-02-01|30|4431
February Competition|Local|2020-02-01|11|4443
KC Weightlifting's Last Chance AO1|Local|2020-02-01|35|4444
2019 Oly Concepts Open|Local|2020-02-01|45|4421
Intro to Kilos|Local|2020-02-01|13|4357
Heartbreaker Qualifier|Local|2020-02-01|40|4403
Torque Barbell Open|Local|2020-02-01|110|4381
Commonwealth Series 1|Local|2020-02-01|35|4369
Bravura Weightlifting Arnold Last Chance Qualifier|Local|2020-02-01|24|4459
CLE Barbell Club's Winter Open|Local|2020-02-01|22|4438
Bixby's Barbell Bonanza|Local|2020-02-01|25|4481
Paramount East New Years Classic|Local|2020-02-01|14|4337
AO 1 Qualifier|Local|2020-01-31|16|4447
Mass Barbell Winter Open|Local|2020-01-26|19|4367
2020 New York City Championship/Open|Local|2020-01-26|55|3894
Spud Thud|Local|2020-01-25|98|4426
Nashville Weightlifting New Year Open|Local|2020-01-25|67|4319
2020 Roma World Cup|International|2020-01-25|13|4424
Cold Iron Classic & Old Folks Open|Local|2020-01-25|83|4197
Arizona High School Championship & Youth/Junior Open|Local|2020-01-25|12|4407
SAS Memorial Meet 2020|Local|2020-01-25|32|4473
2020 Alaska State Championships|Local|2020-01-25|34|4368
2020 LSU #1|Local|2020-01-25|10|4474
Rosedale Open|Local|2020-01-25|94|3902
Forza House Open|Local|2020-01-25|7|4446
HBC Closed Meet|Local|2020-01-25|7|4458
2020 Armor Classic|Local|2020-01-25|66|4363
2020 Northeastern United States Weightlifting Open Competition|Local|2020-01-19|102|4255
Sunday Series: Get To The Choppa|Local|2020-01-19|10|4402
Pony Express|Local|2020-01-18|32|4230
2020 Wilmington Open|Local|2020-01-18|27|4418
THE 10TH ANNUAL CANUSA|Local|2020-01-18|99|4408
Winter Lift-Off|Local|2020-01-18|10|4419
RVA Open 2020|Local|2020-01-18|112|4358
Slamuary|Local|2020-01-18|16|4264
Lunar New Year Open 2020|Local|2020-01-18|37|4409
2020 Texas State Weightlifting Championships|Local|2020-01-18|380|4420
2020 Baltimore Open|Local|2020-01-18|110|4201
2020 Guam Weightlifting Open Championship|Local|2020-01-18|2|4476
2020 Big O Barbell Winter Classic|Local|2020-01-18|10|4348
Lion's Roar Barbell Winter Classic|Local|2020-01-18|30|4349
2020 Canadien Junior Weightlifting Championships|Local|2020-01-18|1|4574
Hudson Valley Winter Classic|Local|2020-01-18|48|4280
Mid Winter Meet|Local|2020-01-18|22|4329
Bar Wars VI|Local|2020-01-12|60|4168
Southern Open|Local|2020-01-11|82|4365
January 11th Competition|Local|2020-01-11|12|4405
New Years Throwdown/Last Chance Arnold Qualifier|Local|2020-01-11|22|4271
Testify Barbell Blizzard|Local|2020-01-11|48|4334
The John Davis Memorial 6|Local|2020-01-11|39|4394
2020 Barbell Control (TCA) New Year's Weightlifting Meet|Local|2020-01-11|61|4301
RAIDER OPEN|Local|2020-01-11|182|4396
LiftLab In House Meet|Local|2020-01-11|8|4435
2020 Pittsburgh Open Weightlifting Championships|Local|2020-01-11|115|4204
2020 Big Blue Winter Slam|Local|2020-01-11|20|4351
New Year Lift Off|Local|2020-01-05|28|4303
Naples Winter Open 2020|Local|2020-01-05|7|4335
14th HoundWood Gym Pocket-Size Open & Qualifier|Local|2020-01-05|6|4433
Pursuit Weightlifting Open|Local|2020-01-04|44|4220
2020 Cypher Open|Local|2020-01-04|19|4428
2020 Universities Qualifier|Local|2020-01-04|7|4440
AWC New Years Resolution Weight Drop|Local|2020-01-04|118|4243
Junior/University Last Chance Qualifier|Local|2020-01-04|1|4423
Grayskull Winter Open II|Local|2020-01-04|65|4350
Scottsdale Barbell Winter Open|Local|2020-01-04|72|4385
Weber State Last Chance Qualifier|Local|2020-01-04|6|4437
2020 Cypher Open|Local|2020-01-04|19|4428
2020 Universities Qualifier|Local|2020-01-04|7|4440
Frank Spellman|Local|2020-01-04|69|4286
Pursuit Weightlifting Open|Local|2020-01-04|44|4220
RYPT Winter Classic|Local|2020-01-04|68|4347
AWC New Years Resolution Weight Drop|Local|2020-01-04|118|4243
Test LWC Event|Local|2020-01-01|7|4031
2019's Last Chance Lift-Off|Local|2019-12-29|24|3749
Five Rings Weightlifting Winter Showdown|Local|2019-12-28|31|4316
Onaga Christmas Open|Local|2019-12-28|41|3928
Christmas Cookies and Cleans|Local|2019-12-28|16|4572
Jingle Brews Classic II|Local|2019-12-28|171|4278
VBW Super Saturday III|Local|2019-12-21|14|4404
Jingle Barbells Open|Local|2019-12-21|18|4306
Mushtok Holiday Cup|Local|2019-12-21|44|4393
Chatfield High School Open|Local|2019-12-21|39|4300
Jingle Barbells Winter Classic|Local|2019-12-20|10|4425
6th Qatar International Cup|International|2019-12-18|1|4508
Hassle Free Winter Breaker|Local|2019-12-15|136|4339
2019 Nick Curry Memorial/Holiday Open|Local|2019-12-15|141|4225
Winter Classic Weightlifting Meet|Local|2019-12-15|80|4293
Barbells on the Beach Winter Showdown|Local|2019-12-14|22|4311
Mustang Weightlifting Meet|Local|2019-12-14|47|4375
OMK Developmental Meet|Local|2019-12-14|16|4376
HI Performance Athletics Youth Weightlifting Meet|Local|2019-12-14|19|4387
Scrooge: A Weightlifting Meet|Local|2019-12-14|46|4270
Palmetto Fall Invitational|Local|2019-12-14|19|4342
Conqueror Weightlifting Developmental Meet|Local|2019-12-14|18|4354
2nd Annual Christmas & Kilos|Local|2019-12-14|39|4294
Louisiana Christmas Invitational|Local|2019-12-14|15|4355
2019 Hawaii Open|Local|2019-12-14|21|4333
PFP Barbell : Liftmas In house Meet|Local|2019-12-14|8|4406
BrewCity Open 6|Local|2019-12-14|69|4344
Winter Throwdown|Local|2019-12-14|11|4379
TEXAS BARBELL FALL CLASSIC & LONGHORN BENEFIT|Local|2019-12-14|46|4321
Wheelhouse Elite Open 2019|Local|2019-12-14|32|4356
Die Hard A Christmas Meet|Local|2019-12-14|23|4307
2019 Winter Classic|Local|2019-12-14|15|4345
Iron Athlete Winter Open|Local|2019-12-14|26|4391
COFFEE CUP|Local|2019-12-14|46|4274
Thirty Flirty and Thriving|Local|2019-12-14|35|4346
HBC Closed Meet|Local|2019-12-14|11|4410
EMS December Warm-up Meet|Local|2019-12-14|21|4383
Winter Slam Two|Local|2019-12-14|70|4289
The Genesis Series Finals|Local|2019-12-14|33|4244
Liftmas 2k19|Local|2019-12-13|6|4389
Liftmas 2k19|Local|2019-12-13|6|4389
Freedom Invitational|Local|2019-12-08|20|4373
1st Annual Bodo Athletics Weightlifting Meet|Local|2019-12-07|16|4277
Big Bend Winter Classic|Local|2019-12-07|12|4325
MBC Winter Throwdown|Local|2019-12-07|22|4265
2019‚ DES MOINES OPEN CHAMPIONSHIPS|Local|2019-12-07|39|4310
Northfield Mini Meet|Local|2019-12-07|44|4395
Mid-Minnesota High School & Middle School Meet|Local|2019-12-07|67|4341
Emory Holiday Throwdown|Local|2019-12-07|14|4377
TEST** 2018 American Open Finals|National|2019-12-06|4|3541
2019 American Open Finals|National|2019-12-05|465|3794
2019 Turkey Meet|Local|2019-12-01|14|4364
2019 Buenos Aires International Open|International|2019-12-01|20|4399
Phillips & Springer Weightlifting Classic 2019|Local|2019-11-30|1|4416
Dynamis Weightlifting Invitational|Local|2019-11-24|6|4360
University of Oregon Fall Open|Local|2019-11-24|26|4260
2nd Annual Jeannie Strong Championships|Local|2019-11-23|28|4287
Barbell Fall Feast|Local|2019-11-23|45|4248
Annual Turkey Classic|Local|2019-11-23|25|4327
Doggie Cup|Local|2019-11-23|66|4229
Greensboro Barbell Rebellion #1|Local|2019-11-23|35|4175
Rudy Sablo Memorial and WLDC Inaugural|Local|2019-11-23|27|3993
The Praelium|Local|2019-11-23|146|3998
Folsom Open 3|Local|2019-11-23|29|4308
November Club Meet|Local|2019-11-17|9|4288
Kegs and Kilos 2019|Local|2019-11-16|50|4183
Rite of Passage|Local|2019-11-16|112|3812
BGBC Weightsgiving|Local|2019-11-16|16|4188
Unleash Your Inner Beast|Local|2019-11-16|36|4305
Greg Simmons Memorial|Local|2019-11-16|39|4295
Visalia Fall Lift-Off|Local|2019-11-16|16|4261
Howard Cohen American Masters|National|2019-11-14|314|4045
International Naim Suleymanoglu Tournament|International|2019-11-14|1|4372
CHAMPIONNATS DE Belgique HALTEROPHILIE MASTERS , WL 2019|Local|2019-11-10|1|4526
KilosGiving OPEN by Brooklyn Barbell|Local|2019-11-10|64|4210
Open Dutch Weightlifting Championships|Local|2019-11-10|1|4417
2019 Central Texas Oly Open|Local|2019-11-09|40|4193
VETERANS DAY CLASSIC|Local|2019-11-09|31|4043
The Denver Fall Throwdown|Local|2019-11-09|29|4282
MIA Classic|Local|2019-11-09|77|3824
SAW Showdown: In House Meet|Local|2019-11-09|24|4378
2019 Lima Grand Prix CSLP Cup|International|2019-11-08|9|4374
56th Golden West Opejn|Local|2019-11-03|40|4371
2019 CT State Weightlifting Championships|Local|2019-11-03|100|4254
Heavy Metal Fall Open|Local|2019-11-03|57|4257
Relentless Open|Local|2019-11-02|35|4215
267 Fall Weightlifting Meet|Local|2019-11-02|37|4106
UnCharted Barbell's Last Chance Qualifier|Local|2019-11-02|67|4299
12th HoundWood Gym Pocket-Size Open|Local|2019-11-02|9|4338
Cookies and Kilos Fall Open|Local|2019-11-02|65|3884
2019 Scottsdale Barbell Fall Classic|Local|2019-11-02|58|4232
Hellbender Barbell Boone Fall Classic|Local|2019-11-02|26|4105
The New England November Open|Local|2019-11-02|25|4284
Oregon Cup|Local|2019-11-02|21|3712
Last Chance AO Final|Local|2019-11-02|9|4366
2019 NOVA OPEN|Local|2019-11-02|43|4200
2019 MidWest Strongest Unicorn|Local|2019-11-02|91|3690
Cookies and Kilos Fall Open|Local|2019-11-02|65|3884
267 Fall Weightlifting Meet|Local|2019-11-02|37|4106
2019 Iron Egg A Squared|Local|2019-11-02|96|4245
Low Country Lift-Off|Local|2019-11-02|16|3669
2019 Sooner State Open|Local|2019-11-02|44|4297
Relentless Open|Local|2019-11-02|35|4215
UnCharted Barbell's Last Chance Qualifier|Local|2019-11-02|67|4299
12th HoundWood Gym Pocket-Size Open|Local|2019-11-02|9|4338
Halloween In House|Local|2019-11-01|12|4322
West Michigan Muscle meet|Local|2019-11-01|8|4359
Driftless Showdown|Local|2019-10-27|12|4291
TSAC Fall 2019 Meet|Local|2019-10-27|7|4331
Stoneage Invitational|Local|2019-10-26|45|4206
2019 Armor Open|Local|2019-10-26|40|4219
2019 White Rose Barbell open|Local|2019-10-26|41|4196
Bravura WL Dia De Los Kilos|Local|2019-10-26|9|4330
ATP Weightlifting Open 2|Local|2019-10-26|24|4143
Ohio Open|Local|2019-10-26|37|4115
2019 NMLWC Championships|Local|2019-10-26|76|4253
Team Chikara Developmental Meet #53|Local|2019-10-26|6|4304
2019 Metropolitan Championships|Local|2019-10-26|19|4283
Mid American Weightlifting Championships|Local|2019-10-26|138|4116
2019 Kilo Classic|Local|2019-10-26|42|4233
Battle of Pearl Harbor WLM 2019|Local|2019-10-26|19|3752
Barbells and Boos|Local|2019-10-26|14|4285
2019 Monster Mash Weightlifting Championships|Local|2019-10-26|14|4273
2019 Montana State Weightlifting Championships and Gough-Karchut Classic|Local|2019-10-26|104|4323
D'Namo Qualifying Championship|Local|2019-10-26|15|4226
The Grim Reaper Qualifier|Local|2019-10-26|94|4137
East Coast Gold Fall Brawl|Local|2019-10-26|60|4149
The Boo Bash|Local|2019-10-26|33|4266
October Open|Local|2019-10-25|51|4161
2019 49th Challenge 210|International|2019-10-24|4|4352
Day of the Dead/Dia de Muertos Open|Local|2019-10-19|21|4205
Nebraska State Championships and Open|Local|2019-10-19|51|4267
The Minnesota Open|Local|2019-10-19|101|4174
Just Strong Open|Local|2019-10-19|14|4207
Championnats de la Ligue Francophone en Haltrophilie|Local|2019-10-19|1|4388
Fall Classic 2019|Local|2019-10-19|11|4167
2019 North Carolina State Championships|Local|2019-10-19|140|4127
2019 Alee Weightlifting Fall Open|Local|2019-10-19|22|4224
Heroic Barbell inaugural Fall Open|Local|2019-10-19|12|4296
2019 Hawaii State Championships|Local|2019-10-19|77|4263
The Minnesota Open|Local|2019-10-19|101|4174
Just Strong Open|Local|2019-10-19|14|4207
Championnats de la Ligue Francophone en Haltrophilie|Local|2019-10-19|1|4388
Fall Classic 2019|Local|2019-10-19|11|4167
Night of the Lifting Dead|Local|2019-10-19|58|4087
Colorado State Championships|Local|2019-10-18|122|3784
Empower Lift Classic|Local|2019-10-13|23|4182
Hassle Free Fall Breakers|Local|2019-10-13|45|4160
CMG Liftoberfest|Local|2019-10-13|19|4104
Allsouth Fall Open|Local|2019-10-12|25|4247
Fort Myers Fall Classic|Local|2019-10-12|11|4249
Barbarian Barbell presents The 5th Annual OctoBar Fest!|Local|2019-10-12|32|4121
Alpha Oktoberfest|Local|2019-10-12|17|4222
2019 Oregon State Meet|Local|2019-10-12|55|4110
2019 Copperhead|Local|2019-10-12|98|4178
Kilodelphia Lift off|Local|2019-10-12|59|4054
Monmouth Championships|Local|2019-10-06|32|4047
9th Annual "Ginny" and NE Championships|Local|2019-10-05|78|3462
ECG Gold Cup|Local|2019-10-05|35|4169
Tough Temple Invitational|Local|2019-10-05|66|3951
Idaho State Championships|Local|2019-10-05|47|4241
October 5th Competition|Local|2019-10-05|7|4292
Iron Factory Fall Open|Local|2019-10-05|13|4155
2019 Masters World Cup - U.S. Citizen|International|2019-10-03|185|4027
2019 Mediterranean Cup|International|2019-10-03|4|4324
2019 San Diego International Open|International|2019-10-03|12|4326
2019 USA Weightlifting San Diego Open U15 and U13|National|2019-10-03|44|4026
2019 Wisconsin State Open|Local|2019-09-28|52|4223
Invictus Open 2019-20 Season Qualifier 1|Local|2019-09-28|10|4272
Kentucky State Open|Local|2019-09-28|25|4213
NYS CHAMPIONSHIP|Local|2019-09-28|109|3959
Texas Barbell Fall Classic|Local|2019-09-28|44|4170
Team WNY Fall Classic|Local|2019-09-28|34|3860
Super Total X3 - The Ocala Championships|Local|2019-09-28|32|4126
Rodger DeGarmo Memorial|Local|2019-09-28|20|4227
Icehouse Open|Local|2019-09-28|25|4217
5th Annual Mobility-Doc Classic|Local|2019-09-28|66|4131
Paramount Weightlifting Championships|Local|2019-09-28|31|4186
2019 West Michigan Muscle Open|Local|2019-09-28|33|4177
Caffeine and Kilos Invitational|Local|2019-09-22|69|4159
Belmont Barbell In House Qualifier|Local|2019-09-22|11|4242
Three Ships Classic|Local|2019-09-21|28|4238
Inland Empire Classic II|Local|2019-09-21|58|4092
Silicon Valley Fall Open|Local|2019-09-21|19|4218
MWL 84|Local|2019-09-21|18|4240
2019 Midwest Open|Local|2019-09-21|32|4208
Houston Open Championships (TSCQE)|Local|2019-09-21|65|4187
2019-Tennessee State Championship|Local|2019-09-21|80|4075
2019 IWF World Championships|International|2019-09-16|20|4276
2019 Vivian Dawson Memorial Open|Local|2019-09-15|45|3950
406 Barbell Open Weightlifting Meet|Local|2019-09-14|7|4250
Nike 2019 American Open Series 3|National|2019-09-12|1133|3793
Kansas State & Open Championships|Local|2019-09-07|118|4091
Iron Beaver Fall Classic|Local|2019-09-07|39|3711
September 7th Weightlifting Competition|Local|2019-09-07|8|4214
Kingfield Classic|Local|2019-09-07|37|4148
North Coast Open|Local|2019-09-07|19|4237
Notch 8 Barbell Classic Presented by KiloTape|Local|2019-09-07|46|4051
Winter Is Coming Weightlifting Classic|Local|2019-09-07|51|4021
Olympia Fall Open Weightlifting Championship|Local|2019-08-31|35|4082
LVB IN HOUSE MASTERS QUALIFICATION MEET|Local|2019-08-31|2|4258
Good Vibes Meet (2020 Texas State Qualifier)|Local|2019-08-31|57|4171
Tampa Bay Area Classic 6|Local|2019-08-31|50|3550
The Genesis Series 3|Local|2019-08-31|34|4122
